"Senior Officials Name
(Firstname and Surname of PermSecs or SCS2/3 Official, exclude titles, honorifics or post nominals e.g. Sir, Captain, MBE, PhD)  ","Start date of trip
(Use the date format: 
YYYY-MM-DD i.e. 2017-11-01)","Duration of Visit (Days)
(Include number of days for the visit,
from departure to arrival)","Destination
(Include trip destination for both domestic and international journeys, e.g. Manchester, UK or Brussels, Belgium)","Purpose of trip
(State a clear purpose, e.g. site visit to locally based staff; Senior Leadership meeting; please avoid abbreviations or acronyms)","Mode of transport
(State if either Rail, Car, Air, Sea, Taxi)
","Class of travel
(i.e. Standard, Economy, Business, First or other)","Accommodation/Meals (£)
(Please include any associated costs relating to accommodation or meals)","Other (including hospitality given)
(State Nil Return if none received)","Total cost, including all visas, accommodation, travel, meals etc. (£)
(This amount should reflect the total cost of the trip, including all visas, additional travel meals etc.)",Total Cost of Use of Official Secure Car (state cost except where officials are accompanying a Minister or Nil Return when not used)
Craig Ogilvie,19/12/2022,2,"Birmingham, UK",Transformation Senior Leader Meeting,Air,Economy,90,Nil Return,202.98,Nil return
Daljit Rehal,10/10/2022,3,"Manchester, UK",Executive Committee Meetings,Rail,Standard,260,Nil Return,610,Nil return
Daljit Rehal,28/10/2022,2,"Leeds, UK",HMRC Board Event,Rail,Standard,82,Nil Return,379,Nil return
Daljit Rehal,01/11/2022,1,"London, Birmingham, UK",Chief Digital and Information Office Internal engagement,Rail,Standard,Nil Return,Nil Return,212,Nil return
David Cooper,03/10/2022,1,"London, UK",Attending full Non-executive directors conference,Rail,Standard,Nil Return,Nil Return,43.7,Nil Return
David Cooper,27/10/2022,2,"Leeds, UK",Attending the HMRC Strategy Conference,Rail,Standard,Nil Return,Nil Return,178,Nil Return
David Cooper,28/11/2022,1,"London, UK",Attending November Board meeting,Rail,Standard,Nil Return,Nil Return,18.85,Nil Return
David Swainston,06/10/2022,1,"London, UK",HMRC Extended Leadership Group ,"Rail, Taxi, Underground ",Standard,23.94,Nil Return,318.58,Nil Return
David Swainston,12/10/2022,2,"Manchester, UK",CDIO Senior Leadership Team ,"Rail, Taxi, ",Standard,140.5,Nil Return,273.86,Nil Return
David Swainston,19/10/2022,1,"Leeds, UK",CDIO Finance All Team Annual Event ,"Rail, Taxi",Standard,Nil Return,Nil Return,104.41,Nil Return
David Swainston,15/11/2022,1,"London, UK",Supplier Event and Line Management ,"Rail, Underground, Taxi",Standard,14.95,Nil Return,275.7,Nil Return
David Swainston,22/11/2022,2,"London, UK",HMRC Senior Civil Service Leadership Conference,"Rail, Underground, Taxi ",Standard,217,Nil Return,430.63,Nil Return
David Swainston,02/12/2022,1,"Darlington, UK",North East Finance Senior Leaders Meeting,Rail,Standard,6.35,Nil Return,26.85,Nil Return
David Swainston,07/12/2022,2,"London, UK ",Chief Digital and Information Office Extended Leadership Quarterly Event ,"Rail, Underground, Taxi",Standard ,252.1,Nil Return,530.73,Nil Return
Emily Antcliffe,31/10/2022,1,"Coventry, UK",Future Leaders Scheme Event,Rail,Standard,7.45,Nil return,62,Nil return
Emily Antcliffe,01/11/2022,1,"East Kilbride, UK",Attending team event and visiting local staff,"Rail, Taxi",Standard,Nil return,Nil return,212.3,Nil return
Emily Antcliffe,17/11/2022,2,"Nottingham, Birmingham, UK",Site Visits to locally based staff and attending team event,Rail,Standard,76.2,Nil return,167.85,Nil return
Emma Court,05/10/2022,2,"London, UK",Enterprise Leadership Group Meeting,Car,Private,261,Nil return,412.49,Nil return
Emma Court,13/10/2022,2,"London, UK",Senior Leadership meeting,Rail,Standard,130,Nil return,299,Nil return
Emma Court,26/10/2022,3,"Leeds, UK",Board Away Day,"Rail, Car, Taxi",Standard,142.51,Nil return,724.37,Nil return
Emma Court,22/11/2022,1,"London, UK",Permanent Secretary Architecture meeting,Rail,Standard,131,Nil return,131,Nil return
Emma Court,28/11/2022,3,"London, UK",Senior Leadership Team Objectives workshop,"Rail, Underground, Car","Standard, Private",349.82,Nil return,610.82,Nil return
Emma Court,08/12/2022,2,"London, UK",Borders Design Workshop,"Rail, car","Standard, Private",122,Nil return,340.6,Nil return
Emma Court,12/12/2022,2,"London, UK",Policy Partnership Awards 2022,"Rail, Underground, Car","Standard, Private",130,Nil return,265,Nil return
Esther Wallington,09/10/2018,1,"Manchester, UK",Executive Committee Site Visit ,Rail,Standard,78,Nil Return,174,Nil Return
Esther Wallington,17/10/2018,1,"Belfast, UK",Regional Centre opening with visit,Air,Economy,92,Nil Return,302.66,Nil Return
Esther Wallington,04/12/2018,1,"Manchester, UK",Senior Leadership Team Meeting ,Rail,Standard,90,Nil Return,198,Nil Return
Esther Wallington,08/12/2018,1,"Nottingham, UK",Regional Centre opening with visit,Rail,Standard,Nil Return,Nil Return,84,Nil Return
Giles McCallum,03/10/2022,1,"London, UK",Face to Face Interviews,"Rail, Parking",Standard,22.1,Nil Return,174.35,Nil Return
Giles McCallum,06/10/2022,1,"London, UK",HMRC Leadership Event ,"Rail, Parking",Standard,Nil Return,Nil Return,185.9,Nil Return
Giles McCallum,11/10/2022,1,"London, UK",Senior Leadership Team,Rail,Standard,212,Nil Return,341,Nil Return
Giles McCallum,13/10/2022,1,"London, UK",Stakeholder meetings,Rail,Standard,Nil Return,Nil Return,48,Nil Return
Giles McCallum,20/10/2022,2,"Belfast, UK",Senior Leadership Team,Air,Economy ,0,Nil Return,190,Nil Return
Giles McCallum,26/10/2022,1,"Birmingham, UK",Other HMRC dept meeting,Rail,Standard,22,Nil Return,22,Nil Return
Giles McCallum,31/10/2022,1,"London, UK",Senior Leadership Team,Rail,Standard,129,Nil Return,199,Nil Return
Giles McCallum,01/11/2022,1,"Leeds, UK",Software Strategy workshop,Rail,Standard,182,Nil Return,182,Nil Return
Giles McCallum,09/11/2022,1,"Manchester, UK",Senior Leadership Team,Rail,Standard,17,Nil Return,17,Nil Return
