Senior Officials Name,Start date of trip,Duration of Visit (Days )Please round this up to the no of days,"Destination - Format must be City, Country","Purpose of trip - Please clearly state the purpose of each trip in detail, ie External meeting must be External meeting with ABC INCORPORATED",Mode of transport,Class of travel,Accommodation/Meals (£),Other (including hospitality given) - Any other costs of the trip,"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Matthew Lodge,06/11/2022,1,"London,UK",Elizabeth Line Opening Event Strateford (Through running),Rail,Nil Return,Nil Return,Nil Return,4.6,Nil Return
Nathan Phillips,03/10/2022,1,"Birmingham,UK", SITE VISIT,"Rail,Taxi",Standard,109.96,Nil Return,124.51,Nil Return
Nathan Phillips,15/11/2022,1,"Leeds,UK", CONFERENCE ATTENDANCE,Nil Return,Nil Return,100.32,Nil Return,100.32,Nil Return
Nick Bisson,08/11/2022,1,"York,UK",IRP Leadership Conference ,Rail,Standard,Nil Return,Nil Return,154.1,Nil Return
Nick Bisson,05/12/2022,1,"Birmingham,UK",Midlands Rail Hub Outline Business Case Conference ,Rail,Standard,Nil Return,Nil Return,75.8,Nil Return
Nick Joyce,12/10/2022,2,"Leeds,UK",Internal Meeting,Train,Standard,56,Nil Return,250.1,Nil Return
Nick Joyce,17/10/2022,1,"Birmingham,UK",Internal Meeting,Train,Standard,Nil Return,Nil Return,144.05,Nil Return
Nick Joyce,01/11/2022,2,"Birmingham,UK",Internal Meeting and Site Visit to Colmore Building,Train,Standard,130.38,Nil Return,274.43,Nil Return
Peter Wilkinson,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Petra Wilkinson,03/10/2022,1,"Edinburgh,UK",SITE VISIT - Shipbuilding Enterprise for Growth Meeting,"Rail,Taxi",Standard,114.66,Nil Return,347.44,Nil Return
Petra Wilkinson,04/10/2022,2,"Aberdeen,UK",British Ports Association Conference,"Air,Rail ",Standard,70,Nil Return,525.25,Nil Return
Petra Wilkinson,10/11/2022,1,"Liverpool,UK ",CONFERENCE ATTENDANCE - Mersey Maritime,Rail,Standard,70,Nil Return,179.62,Nil Return
Petra Wilkinson,14/11/2022,3,"Sharm El Sheikh,Egypt",CONFERENCE ATTENDANCE -COP27,Air ,Standard,1056.09,Nil Return,1672.27,Nil Return
Petra Wilkinson,24/11/2022,1,"London,UK",CONFERENCE ATTENDANCE - SOCIETY OF MARITIME INDUSTRIES,Rail,Standard,139.4,Nil Return,139.4,Nil Return
Philip Luxford,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Richard G Bruce,31/10/2022,2,"Newcastle,UK",Conference Attendance - Green Trade and Investment Expo (GTIE),Rail,Standard,85,Nil Return,203.35,Nil Return
Rosalind Wall,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Rosie Borland ,10/10/2022,1,"Leeds,UK",INTERNAL MEETING,Rail,Standard,Nil Return ,Nil Return ,138.45,Nil Return 
Rosie Borland ,19/10/2022,1,"Birmingham,UK",INTERNAL MEETING,Rail,Standard,Nil Return ,Nil Return ,138.05,Nil Return 
Rosie Borland ,22/11/2022,2,"Birmingham,UK",INTERNAL MEETING,Rail ,Standard,130.38,Nil Return ,244.73,Nil Return 
Rupesh M Mehta,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Russ Macmillan,20/10/2022,2,"London,UK",Prioritisation Meeting ,Rail ,Standard,343.8,28,373.8,Nil Return
Russ Macmillan,01/11/2022,2,"London,UK",Rail Infrastructure Group Meeting ,Rail ,Standard,344.05,21.6,365.65,Nil Return
Russ Macmillan,16/11/2022,2,"Birmingham,UK",SLT Executive Coaching ,Rail ,Standard,315.8,Nil Return,315.8,Nil Return
Russ Macmillan,21/11/2022,2,"London,UK",Network Rail Meeting ,Rail ,Standard,378.8,Nil Return,378.8,Nil Return
Russ Macmillan,29/11/2022,2,"London,UK",Rail Investment Board ,Rail ,Standard,375.8,Nil Return,375.8,Nil Return
Russ Macmillan,20/12/2022,2,"Bristol,UK",TRU Programme Board ,Rail ,Standard,546.75,Nil Return,546.7,Nil Return
Sacha Hatteea,23/11/2022,1,"Coventry,UK",Internal Team meeting,Car,Standard,Nil Return,Nil Return,89,Nil Return
Sam Caughey,10/10/2022,1,"Birmingham,UK",Attended the Rail Passenger Services Launch of request for Business Plan day,Rail ,Standard,64.9,Nil Return,253.95,Nil Return
Sam Caughey,06/12/2022,2,"York,UK",Attended Connected Leaders Event ,Rail ,Standard,Nil Return,Nil Return,268.7,Nil Return
Samana Haq,02/11/2022,1,"Birmingham,UK",Directorate Internal Away Day ,Car,Standard,10,8,18,Nil Return
Sarah Sharples,03/10/2022,1,"London,UK",INTERNAL MEETING - Cross-Government meeting,Rail ,Standard,Nil Return,Nil Return,110.25,Nil Return
Sarah Sharples,04/10/2022,2,"Swindon,UK",CONFERENCE ATTENDANCE - Engineering and Phyiscial Sciences Research Council Key Partners event,Car,Standard,Nil Return,Nil Return,118.8,Nil Return
Sarah Sharples,06/10/2022,1,"London,UK",EETING WITH EXTERNAL BODIES - Institute of Civil Engineers Unwin lecture,Rail ,Standard,Nil Return,Nil Return,71.75,Nil Return
Sarah Sharples,11/10/2022,1,"Leeds,UK",MEETING WITH EXTERNAL BODIES - Robin Lovelace,Rail ,Standard,Nil Return,Nil Return,59.05,Nil Return
Sarah Sharples,12/10/2022,1,"London,UK",INTERNAL MEETING - National Security Board,Rail ,Standard,Nil Return,Nil Return,99,Nil Return
Sarah Sharples,13/10/2022,2,"Newcastle Upon Tyne,UK ",SITE VISIT - Hydrogen Homes,Rail ,Standard,85.25,Nil Return,196.4,Nil Return
