Minister,Date,Name of organisation or individual,Purpose of meeting,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-22,"Meeting with Disabled Persons Transport Advisory Committee,",regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-22,Meeting with CrossCountry trains,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-26,Joint meeting Rail Delivery Group and Network Rail ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-27,Meeting with Rail Delivey Group ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-27,Meeting with High Speed 1,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-27,Meeting with Bombardier Transportation UK & Ireland,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-01,Joint meeting Rail Delivery Group and Network Rail ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-02,"Meeting withTrade Union  ASLEF , RMT ,  TUC, TSSA , Unite, Rail Delivery Group
",regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-03,Meeting with Rail Delivey Group ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-04,Meeting with East Midlands Trains,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-04,Meeting with Rail Delivey Group ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-04,Meeting with Disabled Persons Transport Advisory Committee,discuss impact of covid 19 on disabled people,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-05,Meeting with Avanti West Coast ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-05,Meeting with  Chiltern Railways ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-05,Meeting with Govia Thameslink Railway,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-05,Meeting with Greater Anglia,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-09,"Train Operating Company Owning Groups Roundtable,  Abellio Arriva, FirstGroup, Go-Ahead Group, Keolis , MTR Corporation, Trenitalia , OLR , Network Rail, Rail Delivery Group
",regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-10,Meeting with Rail Delivey Group ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-10,Meeting with Disabled Persons Transport Advisory Committee,To discuss the impact of covid 19 on disabled people ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-06-12,"Trade Union discussion, Trades Union Congress (TUC)Transport Salaried Staffs' Association (TSSA);  Associated Society of Locomotive Engineers and Firemen (ASLEF);National Union of Rail, Maritime and Transport Workers (RMT);  Unite the Union; Prospect; Nautilus International; British Airline Pilots Association (BALPA); Nautilus International, Abellio, Rail Delivery Group
",regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
