District,Ward,SaleYr,Type,Ward_VerifiedSales,Reporting_MinPrice,Reporting_LQPrice,Reporting_MedianPrice,Reporting_MeanPrice,Reporting_UQPrice,Reporting_MaxPrice
"NEWRY, MOURNE AND DOWN",CASTLEWELLAN,2008,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CASTLEWELLAN,2009,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CASTLEWELLAN,2010,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CASTLEWELLAN,2011,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CASTLEWELLAN,2012,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CASTLEWELLAN,2013,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CASTLEWELLAN,2014,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CASTLEWELLAN,2015,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CASTLEWELLAN,2016,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CASTLEWELLAN,2017,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CASTLEWELLAN,2018,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CASTLEWELLAN,2019,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CASTLEWELLAN,2020,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CASTLEWELLAN,2021,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CASTLEWELLAN,2022,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CASTLEWELLAN,2023,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CATHEDRAL,2005,URBAN,54,65000,81000,110000,104433,120500,195000
"NEWRY, MOURNE AND DOWN",CATHEDRAL,2006,URBAN,90,60000,118000,140500,139092,161150,213500
"NEWRY, MOURNE AND DOWN",CATHEDRAL,2007,URBAN,81,56550,150000,175000,177290,210000,350000
"NEWRY, MOURNE AND DOWN",CATHEDRAL,2008,URBAN,13,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CATHEDRAL,2009,URBAN,18,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CATHEDRAL,2010,URBAN,27,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CATHEDRAL,2011,URBAN,19,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CATHEDRAL,2012,URBAN,27,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CATHEDRAL,2013,URBAN,35,40000,52000,82000,81555,99000,155000
"NEWRY, MOURNE AND DOWN",CATHEDRAL,2014,URBAN,35,52000,61000,91000,93749,118000,159800
"NEWRY, MOURNE AND DOWN",CATHEDRAL,2015,URBAN,32,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CATHEDRAL,2016,URBAN,37,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CATHEDRAL,2017,URBAN,45,50000,70500,115000,107779,127800,200000
"NEWRY, MOURNE AND DOWN",CATHEDRAL,2018,URBAN,51,54500,80000,118000,110244,131000,157500
"NEWRY, MOURNE AND DOWN",CATHEDRAL,2019,URBAN,40,60000,73000,115750,108359,141500,168000
"NEWRY, MOURNE AND DOWN",CATHEDRAL,2020,URBAN,29,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CATHEDRAL,2021,URBAN,39,59500,90000,145000,130693,160000,197500
"NEWRY, MOURNE AND DOWN",CATHEDRAL,2022,URBAN,43,50000,96000,140475,137405,168000,252000
"NEWRY, MOURNE AND DOWN",CATHEDRAL,2023,URBAN,33,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",CROSSGAR AND KILLYLEAGH,2005,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSGAR AND KILLYLEAGH,2006,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSGAR AND KILLYLEAGH,2007,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSGAR AND KILLYLEAGH,2008,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",CROSSGAR AND KILLYLEAGH,2009,URBAN,0,0,0,0,0,0,0
