ArrivalAtBip,CountryOfOriginName,CountryFromWhereConsigned,BCPName,CommodityCode,CommodityGroups,CommodityDescription,SpeciesNomination,GrossWeightKg,NetWeightKg,NumberOfPackages,Temperature,ForInternalMarket,DocumentaryCheck,IdentityCheckType,IdentityCheckResult,PhysicalCheck,PhysicalCheckDone,PhysicalCheckNotDone,LabTestDate,LabTestName,LabTestResult
2021-01-25,Burma,Burma,Southampton,3032500,Fish & fish products,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",Cirrhinus cirrhosus,24050,22999,1051,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-27,Brazil,Brazil,London Gateway,160232,Poultry,Of fowls of the species Gallus domesticus,Aves,21994.56,20160,2016,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,satisfactory,N/A,N/A,N/A,N/A,N/A
2021-01-27,Ecuador,Ecuador,London Gateway,16041428,Fish & fish products,Other,Katsuwonus (Euthynnus) pelamis,69345,51678,14850,ambient,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-27,China,China,Felixstowe,3047500,Fish & fish products,Alaska Pollock (Theragra chalcogramma),Theragra chalcogramma,23096,19038.24,3051,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-27,China,China,Felixstowe,3074399,Fish & fish products,Other,Dosidicus gigas,24840,16100,2300,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-27,United States,United States,Heathrow,5119985,Embryos,Other,NO SPECIES NOMINATION PROVIDED,17,0.1,1,frozen,Other,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-27,China,China,Felixstowe,5119190,Animal feed,Other,Invertebrata,8580,7128,3300,ambient,HumanConsumption,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-28,United States,United States,London Tilbury,230910,other POAO,"Dog or cat food, put up for retail sale",Aves,21841,21588,1996,ambient,AnimalFeedingstuff,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-29,China,China,Felixstowe,51199,Animal feed,Other,Invertebrata,11550,10542,840,ambient,AnimalFeedingstuff,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-29,Morocco,Morocco,Liverpool,16041319,Fish & fish products,Other,Sardina pilchardus,19850,15000,5000,ambient,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,satisfactory,N/A,N/A,N/A,N/A,N/A
