"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Media: Radio, Press & International Media (M:RPIM)","POSN004085","C","23826","27397","Policy Adviser","2.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Media: UK Television Policy (M:UKTVP)","POSN004249","A","47073","58207","Senior Policy Adviser","8.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Media: UK Television Policy (M:UKTVP)","POSN004249","A(U)","53328","68310","Senior Policy Adviser","3.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Media: UK Television Policy (M:UKTVP)","POSN004249","B","30955","44558","Policy Adviser","8.90","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Media: UK Television Policy (M:UKTVP)","POSN004249","C","23826","27397","Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Screen, International & Skills (SIS)","POSN005353","A","47073","58207","Senior Policy Adviser","5.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Screen, International & Skills (SIS)","POSN005353","A(U)","53328","68310","Senior Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Screen, International & Skills (SIS)","POSN005353","B","30955","44558","Policy Adviser","9.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Screen, International & Skills (SIS)","POSN005353","C","23826","27397","Policy Adviser","2.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Ministerial and Parliamentary Support Team","POSN000318","A","47073","58207","Principal Private Secretary","2.00","Other"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Ministerial and Parliamentary Support Team","POSN000318","B","30955","44558","Private Secretary","6.00","Other"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Ministerial and Parliamentary Support Team","POSN000318","C","23826","27397","Private Secretary","21.00","Other"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Ministerial and Parliamentary Support Team","POSN000318","D","21216","23314","Private Secretary","2.00","Other"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Private Office","POSN000318","A","47073","58207","Senior Policy Adviser","16.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Private Office","POSN000318","A(U)","53328","68310","Senior Policy Adviser","3.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Private Office","POSN000318","B","30955","44558","Policy Adviser","15.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Private Office","POSN000318","C","23826","27397","Policy Adviser","11.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","News and Communications","POSN005966","A","47073","58207","Senior Communications Manager","7.92","Communications"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","News and Communications","POSN005966","A(U)","53328","68310","Senior Communications Manager","4.51","Communications"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","News and Communications","POSN005966","B","30955","44558","Communications Manager","22.00","Communications"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","News and Communications","POSN005966","D","21216","23314","Communications Manager","1.00","Communications"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Change and Transformation","POSN004632","A","47073","58207","Senior HR Manager","3.00","Human Resources"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Change and Transformation","POSN004632","A(U)","53328","68310","Senior HR Manager","1.00","Human Resources"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Change and Transformation","POSN004632","B","30955","44558","HR Officer","1.50","Human Resources"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Change and Transformation","POSN004632","C","23826","27397","HR Officer","1.00","Human Resources"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Estates and Security","POSN002424","A","47073","58207","Office Manager","2.00","Property and asset management"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Estates and Security","POSN002424","A(U)","53328","68310","Office Manager","2.00","Property and asset management"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Estates and Security","POSN002424","B","30955","44558","Office Manager","6.00","Property and asset management"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Estates and Security","POSN002424","C","23826","27397","Office Manager","2.00","Property and asset management"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","People and Workplace","POSN000148","B","30955","44558","HR Officer","1.00","Human Resources"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","People and Workplace","POSN000148","C","23826","27397","HR Officer","2.00","Human Resources"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","People and Workplace Delivery","POSN000159","A","47073","58207","Senior HR Business Partner","7.61","Human Resources"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","People and Workplace Delivery","POSN000159","A(U)","53328","68310","Senior HR Business Partner","3.00","Human Resources"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","People and Workplace Delivery","POSN000159","B","30955","44558","HR Business Partner","15.00","Human Resources"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","People and Workplace Delivery","POSN000159","C","23826","27397","HR Business Partner","12.05","Human Resources"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","People Development","POSN002409","A","47073","58207","Senior HR Manager","4.61","Human Resources"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","People Development","POSN002409","A(U)","53328","68310","Senior HR Manager","1.00","Human Resources"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","People Development","POSN002409","B","30955","44558","HR Officer","2.60","Human Resources"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","People Development","POSN002409","C","23826","27397","HR Officer","1.00","Human Resources"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","People Strategy and Development","POSN000149","A","47073","58207","Senior HR Manager","5.00","Human Resources"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","People Strategy and Development","POSN000149","A(U)","53328","68310","Senior HR Manager","3.00","Human Resources"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","People Strategy and Development","POSN000149","B","30955","44558","HR Officer","7.80","Human Resources"
