Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,June     ,England,West Midlands,Shropshire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,193
2015,June     ,England,South West,Gloucestershire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,179
2015,June     ,England,North East,Durham,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,85
2015,June     ,England,Eastern,Hertfordshire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,25
2015,June     ,England,West Midlands,Hereford & Worcester,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,71
2015,June     ,England,South East,Buckinghamshire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,127
2015,June     ,England,South East,Berkshire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,36
2015,June     ,England,North East,Tyne & Wear,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,21
2015,June     ,England,Yorkshire and the Humber,North Yorkshire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,266
2015,June     ,England,North East,Northumberland,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,220
2015,June     ,England,South East,West Sussex,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,98
2015,June     ,England,South East,Surrey,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,30
2015,June     ,England,South West,Cornwall,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,402
2015,June     ,England,South East,Kent,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,50
2015,June     ,England,South West,Gloucestershire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,178
2015,June     ,England,South West,Dorset,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,289
2015,June     ,England,West Midlands,Hereford & Worcester,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,92
2015,June     ,England,Eastern,Suffolk,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,26
2015,June     ,England,South West,Avon,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,147
2015,June     ,England,Yorkshire and the Humber,North Yorkshire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,269
2015,June     ,England,East Midland,Northamptonshire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,36
2015,June     ,England,East Midland,Leicestershire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,105
2015,June     ,England,South East,Oxfordshire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,87
2015,June     ,England,South West,Somerset,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,582
2015,June     ,England,East Midland,Northamptonshire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,37
2015,June     ,England,North West,Greater Manchester,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,43
2015,June     ,England,Yorkshire and the Humber,South Yorkshire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,24
2015,June     ,England,East Midland,Leicestershire,Non Dairy,ABONDANCE CROSS,F,Birth Application,6
2015,June     ,England,South East,Berkshire,Non Dairy,AUBRAC X,M,Birth Application,2
2015,June     ,England,South West,Dorset,Non Dairy,AUSTRALIAN LOWLINE,F,Birth Application,3
2015,June     ,England,South West,Wiltshire,Non Dairy,AUSTRALIAN LOWLINE,F,Birth Application,2
2015,June     ,England,South West,Dorset,Non Dairy,AUSTRALIAN LOWLINE,M,Birth Application,3
2015,June     ,England,South West,Devon,Non Dairy,AUSTRALIAN LOWLINE X,F,Birth Application,6
2015,June     ,England,South West,Devon,Non Dairy,AUSTRALIAN LOWLINE X,M,Birth Application,6
2015,June     ,England,South West,Cornwall,Non Dairy,AUSTRALIAN LOWLINE X,M,Birth Application,1
