,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,Totals to Date,,
,,M,0,0,0,2,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,8,4,3
GLOUCESTER,Non Dairy,F,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,2
,,M,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
GLOUCESTER X,Non Dairy,F,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,6,1,0
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,1,0
GUERNSEY,Dairy,F,4,5,5,0,2,3,1,8,4,3,6,4,4,2,2,1,2,3,5,2,3,5,5,0,3,1,0,8,2,0,8,5,0,5,6,0,47,46,24
,,M,3,0,3,1,2,2,2,2,4,3,0,3,3,2,3,0,1,0,1,2,1,0,2,0,1,2,0,1,3,0,2,3,0,3,1,0,20,20,16
GUERNSEY X,Dairy,F,1,0,1,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,1
,,M,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0
HEREFORD,Non Dairy,F,10,9,9,6,5,4,9,11,13,22,13,19,14,14,10,6,6,9,4,4,4,6,2,0,6,6,0,4,6,0,4,7,0,1,1,0,92,84,68
,,M,10,5,4,3,8,2,7,18,12,23,11,12,14,12,16,10,4,9,3,1,7,1,5,0,4,10,0,6,3,0,5,5,0,2,5,0,88,87,62
HEREFORD X,Non Dairy,F,44,47,56,42,60,38,66,91,78,63,95,72,48,42,41,55,25,36,38,17,26,48,31,0,30,29,0,35,33,0,35,41,0,39,49,0,543,560,347
,,M,60,58,63,51,76,60,80,98,84,71,116,86,59,66,61,36,39,42,41,42,29,37,41,0,23,38,0,34,30,0,36,58,0,62,73,0,590,735,425
HIGHLAND,Non Dairy,F,3,1,0,4,2,3,5,6,6,12,10,6,10,7,3,2,3,4,8,3,2,1,2,0,1,2,0,1,0,0,0,1,0,1,0,0,48,37,24
,,M,4,3,1,1,2,1,3,6,5,6,9,7,6,6,10,4,3,1,4,5,4,2,3,0,1,1,0,2,1,0,0,1,0,3,0,0,36,40,29
HIGHLAND X,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
,,M,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2
HOLSTEIN,Dairy,F,149,141,153,104,132,107,74,116,111,90,76,72,69,89,82,69,82,71,58,85,80,67,89,0,79,81,0,89,90,0,119,100,0,141,228,0,"1,108","1,309",676
,,M,158,172,142,97,124,122,114,126,89,102,101,89,94,73,79,93,92,68,96,111,65,107,113,0,100,119,0,87,107,0,130,121,0,155,163,0,"1,333","1,422",654
HOLSTEIN FRIESIAN,Dairy,F,812,838,912,618,660,594,571,616,634,487,538,438,400,426,402,364,437,374,406,524,436,414,483,0,500,567,0,449,569,0,595,663,0,724,"1,080",0,"6,340","7,401","3,790"
,,M,948,"1,052",960,748,921,664,728,803,691,626,709,571,570,593,524,510,556,474,649,643,497,666,642,0,666,750,0,712,709,0,812,860,0,997,"1,283",0,"8,632","9,521","4,381"
HOLSTEIN FRIESIAN X,Dairy,F,38,47,52,40,72,56,43,61,77,41,28,52,30,27,37,21,24,25,30,23,17,23,31,0,35,44,0,30,38,0,19,44,0,36,57,0,386,496,316
,,M,56,64,48,59,80,61,73,83,84,40,57,60,42,35,30,32,28,26,36,28,16,48,45,0,48,47,0,36,40,0,54,60,0,43,61,0,567,628,325
