Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT MBC DOM,Fees and Charges,"Works - Construction, Repair & Maintenance  ",18.05.2021,16.06.2021,GPC05210000064,10.00
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Furniture and Equipment,Furniture & Soft Furnishings  ,16.05.2021,16.06.2021,GPC05210000065,56.98
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON PRIME MK4CB1264,Furniture and Equipment,Furniture & Soft Furnishings  ,13.05.2021,16.06.2021,GPC05210000066,7.99
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK MK78H2VB4,Office Expenses,Stationery    ,07.05.2021,16.06.2021,GPC05210000067,6.66
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Furniture and Equipment,Environmental Services Technical Equipment ,28.05.2021,16.06.2021,GPC05210000068,4.50
Stockport MBC,Services to People,Childrens & Educational Services,MCDONALDS,Catering Supplies,Catering Food & Beverages ,28.05.2021,16.06.2021,GPC05210000069,44.65
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Furniture and Equipment,Environmental Services Technical Equipment ,27.05.2021,16.06.2021,GPC05210000070,11.00
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,24.05.2021,16.06.2021,GPC05210000071,61.90
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,20.05.2021,16.06.2021,GPC05210000072,20.17
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,20.05.2021,16.06.2021,GPC05210000073,19.73
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,19.05.2021,16.06.2021,GPC05210000074,13.98
Stockport MBC,Services to People,Childrens & Educational Services,PAYPAL  PROUD TRUST,Furniture and Equipment,Environmental Services Technical Equipment ,18.05.2021,16.06.2021,GPC05210000075,54.05
Stockport MBC,Services to People,Childrens & Educational Services,THE STABLES,Catering Supplies,Catering Food & Beverages ,18.05.2021,16.06.2021,GPC05210000076,15.40
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,17.05.2021,16.06.2021,GPC05210000077,24.44
Stockport MBC,Services to People,Childrens & Educational Services,B&M 518 - EDGELEY,Furniture and Equipment,Environmental Services Technical Equipment ,13.05.2021,16.06.2021,GPC05210000078,7.88
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,10.05.2021,16.06.2021,GPC05210000079,37.50
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,06.05.2021,16.06.2021,GPC05210000080,8.70
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,Environmental Services Technical Equipment ,03.05.2021,16.06.2021,GPC05210000081,37.21
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,04.05.2021,16.06.2021,GPC05210000082,22.23
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,AMAZON.CO.UK 2T2I560I4,Furniture and Equipment,Environmental Services Technical Equipment ,26.05.2021,16.06.2021,GPC05210000083,53.50
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,SCREWFIX DIRECT,Furniture and Equipment,Environmental Services Technical Equipment ,25.05.2021,16.06.2021,GPC05210000084,42.99
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,AMZN MKTP UK MK0R99TF4,Furniture and Equipment,Environmental Services Technical Equipment ,03.05.2021,16.06.2021,GPC05210000085,16.99
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,30.04.2021,16.06.2021,GPC05210000086,14.99
Stockport MBC,Corporate and Support Services,Central Support Costs,AMZNMKTPLACE AMAZON.CO,Office Expenses,Mail Services   ,23.05.2021,16.06.2021,GPC05210000087,11.58
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.GOV.UK,Legal Fees,Legal Services  ,06.05.2021,16.06.2021,GPC05210000088,1.50
Stockport MBC,Corporate and Support Services,Central Support Costs,AMZNMKTPLACE AMAZON.CO,Office Expenses,Stationery    ,05.05.2021,16.06.2021,GPC05210000089,56.92
Stockport MBC,Corporate and Support Services,Central Support Costs,AMZNMKTPLACE,Office Expenses,Stationery    ,04.05.2021,16.06.2021,GPC05210000090,34.14
Stockport MBC,Corporate and Support Services,Central Support Costs,SAICA NATUR UK LTD,Office Expenses,Mail Services   ,30.04.2021,16.06.2021,GPC05210000091,120.00
Stockport MBC,Services to People,Adult Social Care,ALDI 72 778,Catering Supplies,Catering Food & Beverages ,01.06.2021,16.06.2021,GPC05210000092,144.01
Stockport MBC,Services to People,Adult Social Care,ALDI 84 773,Catering Supplies,Catering Food & Beverages ,01.06.2021,16.06.2021,GPC05210000093,18.45
Stockport MBC,Services to People,Adult Social Care,ALDI 84 773,Catering Supplies,Catering Food & Beverages ,27.05.2021,16.06.2021,GPC05210000094,182.91
