Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Community,2556,Parks,16/04/2020,0000227794,2681.12,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2556,Car Parks,16/04/2020,0000227794,8043.43,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2556,Highways,16/04/2020,0000227794,71725.96,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2556,Anciliary Costs,16/04/2020,0000227794,491.51,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2556,Contract Variations Highways,16/04/2020,0000227794,1836.80,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2550,Grave Digging and Maintenance,23/04/2020,0000227795,2197.62,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2555,Payment to Contractor,16/04/2020,0000227796,10814.32,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,23/04/2020,0000227797,2430.00,Revenue,Rna Estates Ltd T/A Airport Lodge,10121
Rushmoor Borough Council,Community,2551,General Repairs and Maintenance,16/04/2020,0000227802,281.45,Revenue,Aci Reports Ltd,15748
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,16/04/2020,0000227803,366.45,Revenue,Aci Reports Ltd,15748
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,16/04/2020,0000227804,281.45,Revenue,Aci Reports Ltd,15748
Rushmoor Borough Council,Financial Services,3404,External Audit Fee,16/04/2020,0000227805,9594.00,Revenue,Ernst And Young Llp,01838
Rushmoor Borough Council,Legal,1235,General Repairs and Maintenance,16/04/2020,0000227806,440.00,Revenue,Secure Site (Uk) Ltd,14068
Rushmoor Borough Council,Planning,2611,Consultancy,16/04/2020,0000227807,1478.50,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Legal,1202,Professional Subscriptions,23/04/2020,0000227808,260.00,Revenue,Llg Ltd,00566
Rushmoor Borough Council,Legal,1202,Counsels Fees,23/04/2020,0000227810,487.50,Revenue,12 Cp Barristers,13792
Rushmoor Borough Council,Planning,2604,Esso Pipeline Consultancy,23/04/2020,0000227811,500.00,Revenue,Landmark Chambers,08237
Rushmoor Borough Council,Legal,1202,Counsels Fees,23/04/2020,0000227813,2000.00,Revenue,Browne Jacobson Llp,15516
Rushmoor Borough Council,Information Technology,3305,Water,16/04/2020,0000227815,727.50,Revenue,Castle Water Limited,14681
Rushmoor Borough Council,Customer Services,3804,Software Maintenance,16/04/2020,0000227824,875.00,Revenue,Northgate Public Services (Uk) Ltd,09422
Rushmoor Borough Council,Legal,1209,Legionela Maintenance,16/04/2020,0000227826,360.00,Revenue,3C Environmental Technology,15088
Rushmoor Borough Council,Community,2565,Trade Refuse,16/04/2020,0000227827,549.90,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2565,Trade Refuse,16/04/2020,0000227829,352.50,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,16/04/2020,0000227831,1035.00,Revenue,Austin Fraser Ltd,09925
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,16/04/2020,0000227832,945.00,Revenue,Austin Fraser Ltd,09925
Rushmoor Borough Council,Information Technology,3302,Application Software,23/04/2020,0000227833,1528.56,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Community,2551,Registration Fees,23/04/2020,0000227834,455.00,Revenue,Institute Of Cemetery & Crematorium Man,02762
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,16/04/2020,0000227837,2210.00,Revenue,Pjk Solutions Ltd,14615
Rushmoor Borough Council,Community,2537,General Repairs and Maintenance,23/04/2020,0000227839,2026.43,Revenue,Hardcastle Electrical Limited,08301
Rushmoor Borough Council,Community,2537,General Repairs and Maintenance,23/04/2020,0000227840,660.00,Revenue,Hardcastle Electrical Limited,08301
Rushmoor Borough Council,Information Technology,3305,Repair and Maintenance of Fixed Plant,23/04/2020,0000227841,4888.00,Revenue,Healthcare Construction Ltd,15636
Rushmoor Borough Council,Community,2537,General Repairs and Maintenance,23/04/2020,0000227842,1890.00,Revenue,Hardcastle Electrical Limited,08301
Rushmoor Borough Council,Information Technology,3305,Repair and Maintenance of Fixed Plant,23/04/2020,0000227843,1616.00,Revenue,Healthcare Construction Ltd,15636
Rushmoor Borough Council,Director of Community and Environment Services,2110,ICE Programme Manager,23/04/2020,0000227847,6370.05,Revenue,Glk Solutions Ltd,12369
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,23/04/2020,0000227849,400.00,Revenue,Gate-A-Mation Services Ltd,14875
Rushmoor Borough Council,Democratic Services,1327,Postages,23/04/2020,0000227850,1692.38,Revenue,Royal Mail,00821
Rushmoor Borough Council,Legal,1209,Southwood Golf Course SANG Setup,23/04/2020,0000227851,285.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,23/04/2020,0000227854,1050.00,Revenue,Rna Estates Ltd T/A Airport Lodge,10121
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,23/04/2020,0000227855,325.00,Revenue,Annies Guest House,10688
Rushmoor Borough Council,Community,6518,Contract Costs,23/04/2020,0000227856,4095.00,Capital,Craemer Uk Ltd,11508
Rushmoor Borough Council,Community,6518,Contract Costs,23/04/2020,0000227856,2047.50,Capital,Craemer Uk Ltd,11508
Rushmoor Borough Council,Legal,1202,Counsels Fees,30/04/2020,0000227860,686.00,Revenue,Geldards Llp,15716
Rushmoor Borough Council,Director of Community and Environment Services,2110,ICE Project and Improvement Mgr,23/04/2020,0000227873,2794.55,Revenue,Glk Solutions Ltd,12369
Rushmoor Borough Council,Legal,1203,Temporary Staff,30/04/2020,0000227878,330.00,Revenue,The Oyster Partnership Limited,13970
Rushmoor Borough Council,Information Technology,3304,Azure,23/04/2020,0000227881,821.01,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Information Technology,3304,General Hardware,23/04/2020,0000227884,272.78,Revenue,Insight Direct (Uk) Ltd,05302
Rushmoor Borough Council,Information Technology,7305,Contract Costs,23/04/2020,0000227886,2165.00,Capital,Insight Direct (Uk) Ltd,05302
Rushmoor Borough Council,Information Technology,3304,General Hardware,23/04/2020,0000227887,346.48,Revenue,Insight Direct (Uk) Ltd,05302
Rushmoor Borough Council,Environmental Health and Housing,2402,Step by Step,23/04/2020,0000227890,27400.00,Revenue,Step By Step,02660
Rushmoor Borough Council,Customer Services,3811,Software Maintenance,23/04/2020,0000227891,5935.37,Revenue,Northgate Public Services (Uk) Ltd,09422
Rushmoor Borough Council,Information Technology,3302,Application Software,23/04/2020,0000227892,41251.39,Revenue,Northgate Public Services (Uk) Ltd,09422
Rushmoor Borough Council,Customer Services,3804,Software Maintenance,23/04/2020,0000227894,475.00,Revenue,Northgate Public Services (Uk) Ltd,09422
Rushmoor Borough Council,Legal,1202,Counsels Fees,30/04/2020,0000227895,4000.00,Revenue,Aardvark Planning Law,14366
Rushmoor Borough Council,Legal,1213,Responsive Repairs and Maintenance,23/04/2020,0000227896,503.45,Revenue,Cooper And Withycombe,13479
Rushmoor Borough Council,Strategy and Communiations,1415,In-house Training,23/04/2020,0000227897,550.00,Revenue,Solace Group Ltd,08897
Rushmoor Borough Council,Environmental Health and Housing,2204,Kennel/Feed Stray Dogs,30/04/2020,0000227899,813.75,Revenue,Bowenhurst Kennels,00167
Rushmoor Borough Council,Community,2507,General Repairs and Maintenance,23/04/2020,0000227900,820.00,Revenue,Harpers Door Specialists,14059
Rushmoor Borough Council,Legal,1213,Responsive Repairs and Maintenance,23/04/2020,0000227905,700.00,Revenue,Secure Site (Uk) Ltd,14068
Rushmoor Borough Council,Information Technology,3304,Covid19,23/04/2020,0000227907,480.00,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Information Technology,3304,Covid19,30/04/2020,0000227908,9153.60,Revenue,Techbuyer,15822
Rushmoor Borough Council,Community,2537,Farnborough Leisure Centre Parking Rebates,23/04/2020,0000227911,595.42,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,30/04/2020,0000227915,4470.00,Revenue,Annies Guest House,10688
Rushmoor Borough Council,Strategy and Communiations,1415,Training Expenses,30/04/2020,0000227916,2300.00,Revenue,Roffey Park Institute Limited,15462
Rushmoor Borough Council,Financial Services,3403,Consultancy,23/04/2020,0000227918,11500.00,Revenue,Arlingclose Ltd,12662
Rushmoor Borough Council,Legal,1202,Counsels Fees,30/04/2020,0000227920,600.00,Revenue,Landmark Chambers,08237
Rushmoor Borough Council,Information Technology,3302,Application Software,23/04/2020,0000227921,24060.64,Revenue,Capita Business Services Ltd,00208
