"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Sustainable Business and Development - Business Strategy and Sustainable Places and Systems - Innovation and Change","EA_DDBSSPS","SG6","44477","55631","Senior Advisor Environment and Business","2.81","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Thames","EA_DDTHM","SG7","55819","69471","Senior Advisor Flood and Coastal Risk Management","1.00","Programme and Project Management (PPM)"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Future Funding - Future Funding","EA_DFF","SG4","27572","33869","Officer Future Funding","3.00","Finance"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Flood and Coastal Risk Management Directorate - Allocation and Asset Management - Asset Performance","EA_DDAP","SG3","22792","27223","Team Member Flood and Coastal Risk Management","0.59","Property and Asset Management"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Water Land and Biodiversity - Agriculture Fisheries and the Natural environment - Ecology and Ecosystems","EA_DDAFNE","SG7","55819","69471","Manager Environment and Business","0.80","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - National Services Environment and Business","EA_DNSEB","SG7","55819","69471","Not in Post","1.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Regulated Industry - Waste Regulation - Strategy","EA_DDWRM","SG7","55819","69471","Manager Environment and Business","1.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Regulated Industry - Waste Regulation - Regimes","EA_DDWRM","SG6","44477","55631","Senior Advisor Environment and Business","4.48","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Water Land and Biodiversity - Integrated Water Planning - Heads of Business","EA_DDIWP","SG7","55819","69471","Manager Environment and Business","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Regulated Industry - Waste Regulation - Landfill and Defence Waste","EA_DDWRM","SG7","55819","69471","Manager Environment and Business","1.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Sustainable Business and Development - European Union International Relations and Environment Strategy - Environment Strategy","EA_DDEUIR","SG5","34879","42955","Not in Post","1.00","Communications"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Water Land and Biodiversity - Agriculture Fisheries and the Natural environment - Salmon Programme","EA_DDAFNE","SG7","55819","69471","Manager Environment and Business","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Future Funding - Future Funding and Investment","EA_DFF","SG7","55819","69471","Manager Environment and Business","0.86","Finance"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Water Land and Biodiversity - Agriculture Fisheries and the Natural environment - Ecology and Ecosystems","EA_DDAFNE","SG5","34879","42955","Advisor Environment and Business","2.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Regulated Industry - Waste Regulation - Regimes","EA_DDWRM","SG6","44477","55631","Team Leader Environment and Business","1.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Regulated Industry - Radioactive Substance and Installations Regulation - Oil and Gas Programme","EA_DDRSIR","SG7","55819","69471","Manager Environment and Business","1.00","Programme and Project Management (PPM)"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Regulated Industry - Waste Regulation - Regimes","EA_DDWRM","SG7","55819","69471","Manager Environment and Business","1.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Sustainable Business and Development - Business Strategy and Sustainable Places and Systems - Innovation and Development","EA_DDBSSPS","SG6","44477","55631","Senior Advisor Environment and Business","2.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Cumbria and Lancashire","EA_DDCLA","N","36611","100754","Senior Advisor Cumbria and Lancashire","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Water Land and Biodiversity - Strategic Monitoring Review - Management","EA_DDIWP","SG7","55819","69471","Manager Environment and Business","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Chief Executives Directorate - Governance and Engagement - Customer Engagement Market Research","EA_DDGE","SG4","27572","33869","Advisor Chief Executives Directorate","1.70","Communications"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - National Services Environment and Business","EA_DNSEB","SG3","22792","27223","Team Member Operational Services","1.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - East Anglia","EA_DDEN","SG6","44477","55631","Senior Specialist East Anglia","3.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Regulated Industry - Waste Regulation - Strategy","EA_DDWRM","SG4","27572","33869","Officer Environment and Business","1.80","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - National Services Environment and Business - Permitting  - Central","EA_DDPC","SG5","34879","42955","Advisor Operational Services","3.70","Policy"
