SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLC_Result_PS_NG,PSPMBAResultMBA1,PSPMBAResultMBA2,PSPAverageMBAResult,DSPResultPositive,DSPResultNegative,DomoicAcid,ActionRequired,SampleNumber2
BTX/2007/2179,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2007-08-13,2007-08-14,Pacific Oysters,NG,,,,,NEGATIVE,<RL,Flesh and water samples advised,BTX/2007/2179
BTX/2007/2180,The Solent,B24AV,Southampton PHA,SZ47509960,Stanswood,2007-08-13,2007-08-14,Native Oysters,NG,,,,,NEGATIVE,<RL,Flesh and water samples advised,BTX/2007/2180
BTX/2007/2181,Southampton Water,B021D,Southampton PHA,SU45000770,Netley,2007-08-13,2007-08-14,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/2181
BTX/2007/2182,Southampton Water,B021L,Southampton PHA,SU47800530,Hamble Estuary,2007-08-13,2007-08-14,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/2182
BTX/2007/2183,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2007-08-13,2007-08-14,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2007/2183
BTX/2007/2184,Three Rivers,B071F,Carmarthenshire CC,SN37500640,Gwendraeth,2007-08-13,2007-08-14,Cockles,PS ,ND,ND,ND,,NEGATIVE,<RL,,BTX/2007/2184
BTX/2007/2185,Three Rivers,B071B,Carmarthenshire CC,SN34300920,Wharley Point,2007-08-13,2007-08-14,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2007/2185
BTX/2007/2186,Three Rivers,B071E,Carmarthenshire CC,SN35700730,St Ishmaels,2007-08-13,2007-08-14,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/2186
BTX/2007/2187,West Mersea,B013F,Maldon DC,TL98611115,Tollesbury North,2007-08-13,2007-08-14,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/2187
BTX/2007/2188,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow,2007-08-13,2007-08-14,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/2188
BTX/2007/2189,Stour Estuary,B061A,Thanet DC,TR35806340,Pegwell Bay,2007-08-13,2007-08-14,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2007/2189
BTX/2007/2190,The Wash,,Boston BC,,Zone 1,2007-08-13,2007-08-14,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2007/2190
BTX/2007/2191,The Wash,,Boston BC,,Zone 2,2007-08-13,2007-08-14,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2007/2191
BTX/2007/2192,The Wash,,Kings Lynn & W Norfolk BC,,Zone 3,2007-08-13,2007-08-14,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2007/2192
BTX/2007/2193,The Wash,,Boston BC,,Zone 2,2007-08-13,2007-08-14,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/2193
BTX/2007/2194,The Wash,,Kings Lynn & W Norfolk BC,,Zone 4,2007-08-13,2007-08-14,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2007/2194
BTX/2007/2195,Yealm,B031H,Plymouth PHA,SX54414955,Fox Cove,2007-08-13,2007-08-14,Mussels,PS,ND,ND,ND,,,,,BTX/2007/2195
BTX/2007/2196,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,2007-08-13,2007-08-14,Mussels,NG,,,,,,,,BTX/2007/2196
BTX/2007/2197,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2007-08-13,2007-08-14,Cockles,NG,,,,Unable to analyse,,<RL,,BTX/2007/2197
BTX/2007/2198,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2007-08-13,2007-08-14,Mussels,NG,,,,Unable to analyse,,<RL,,BTX/2007/2198
BTX/2007/2199,Fal,B033Z,Falmouth and Truro PHA,SW84093878,T Pontoon,2007-08-13,2007-08-14,Mussels,PS,ND,ND,ND,,,,,BTX/2007/2199
BTX/2007/2200,Fal,B033C,Falmouth and Truro PHA,SW84544276,Malpas,2007-08-13,2007-08-14,Mussels,PS,ND,ND,ND,,,,,BTX/2007/2200
BTX/2007/2201,Helford,B034J,Falmouth and Truro PHA,SW75572750,Porth Navas,2007-08-13,2007-08-14,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/2201
