OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,187096,302392,204295,157066,115023
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,276500,337861,228296,187310,119159
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,244461,304939,207922,167666,98599
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,275425,390570,250626,201645,127181
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-11-01T00:00:00,2022-11-30T23:59:59,Month,2022-11,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,218181,289558,185962,150682,107061
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,237980,317063,211154,168918,114233
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,200184,276573,171921,138214,95472
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,230447,287062,196080,155296,104492
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,188721,304880,206031,158494,116055
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,273801,334477,226069,185691,118134
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,245808,306632,209074,168547,99146
