Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,HEREFORD,F,Birth Application,10
2015,January  ,Wales,Wales,Clwyd,Non Dairy,HEREFORD,M,Birth Application,8
2015,January  ,Wales,Wales,West Glamorgan,Non Dairy,HEREFORD,M,Birth Application,2
2015,January  ,Wales,Wales,Clwyd,Non Dairy,HEREFORD,F,Birth Application,9
2015,January  ,Wales,Wales,Dyfed,Non Dairy,HEREFORD,M,Birth Application,44
2015,January  ,Wales,Wales,Gwent,Non Dairy,HEREFORD,M,Birth Application,5
2015,January  ,Wales,Wales,Mid Glamorgan,Non Dairy,HEREFORD,F,Birth Application,2
2015,January  ,Wales,Wales,Gwent,Non Dairy,HEREFORD,F,Birth Application,1
2015,January  ,Wales,Wales,Powys,Non Dairy,HEREFORD,M,Birth Application,9
2015,January  ,Wales,Wales,Dyfed,Non Dairy,HEREFORD,F,Birth Application,44
2015,January  ,Wales,Wales,Powys,Non Dairy,HEREFORD,F,Birth Application,5
2015,January  ,Wales,Wales,Mid Glamorgan,Non Dairy,HEREFORD,M,Birth Application,4
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,HEREFORD,M,Birth Application,9
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,HEREFORD X,M,Birth Application,52
2015,January  ,Wales,Wales,West Glamorgan,Non Dairy,HEREFORD X,M,Birth Application,8
2015,January  ,Wales,Wales,Dyfed,Non Dairy,HEREFORD X,M,Birth Application,382
2015,January  ,Wales,Wales,Gwent,Non Dairy,HEREFORD X,F,Birth Application,35
2015,January  ,Wales,Wales,Gwent,Non Dairy,HEREFORD X,M,Birth Application,56
2015,January  ,Wales,Wales,Mid Glamorgan,Non Dairy,HEREFORD X,F,Birth Application,15
2015,January  ,Wales,Wales,South Glamorgan,Non Dairy,HEREFORD X,M,Birth Application,7
2015,January  ,Wales,Wales,Clwyd,Non Dairy,HEREFORD X,M,Birth Application,53
2015,January  ,Wales,Wales,Clwyd,Non Dairy,HEREFORD X,F,Birth Application,48
2015,January  ,Wales,Wales,Powys,Non Dairy,HEREFORD X,F,Birth Application,23
2015,January  ,Wales,Wales,Powys,Non Dairy,HEREFORD X,M,Birth Application,23
2015,January  ,Wales,Wales,South Glamorgan,Non Dairy,HEREFORD X,F,Birth Application,3
2015,January  ,Wales,Wales,Dyfed,Non Dairy,HEREFORD X,F,Birth Application,382
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,HEREFORD X,F,Birth Application,38
2015,January  ,Wales,Wales,West Glamorgan,Non Dairy,HEREFORD X,F,Birth Application,4
2015,January  ,Wales,Wales,Mid Glamorgan,Non Dairy,HEREFORD X,M,Birth Application,15
2015,January  ,Wales,Wales,Mid Glamorgan,Dairy,HOLSTEIN,M,Birth Application,1
2015,January  ,Wales,Wales,Gwynedd,Dairy,HOLSTEIN,F,Birth Application,48
2015,January  ,Wales,Wales,Gwent,Dairy,HOLSTEIN,M,Birth Application,26
2015,January  ,Wales,Wales,Powys,Dairy,HOLSTEIN,M,Birth Application,33
2015,January  ,Wales,Wales,South Glamorgan,Dairy,HOLSTEIN,F,Birth Application,11
2015,January  ,Wales,Wales,Clwyd,Dairy,HOLSTEIN,F,Birth Application,110
2015,January  ,Wales,Wales,Dyfed,Dairy,HOLSTEIN,F,Birth Application,396
2015,January  ,Wales,Wales,Mid Glamorgan,Dairy,HOLSTEIN,F,Birth Application,3
2015,January  ,Wales,Wales,South Glamorgan,Dairy,HOLSTEIN,M,Birth Application,6
2015,January  ,Wales,Wales,Dyfed,Dairy,HOLSTEIN,M,Birth Application,199
2015,January  ,Wales,Wales,Gwynedd,Dairy,HOLSTEIN,M,Birth Application,4
2015,January  ,Wales,Wales,Gwent,Dairy,HOLSTEIN,F,Birth Application,48
2015,January  ,Wales,Wales,Powys,Dairy,HOLSTEIN,F,Birth Application,51
2015,January  ,Wales,Wales,Clwyd,Dairy,HOLSTEIN,M,Birth Application,45
2015,January  ,Wales,Wales,Dyfed,Dairy,HOLSTEIN FRIESIAN,F,Birth Application,1879
2015,January  ,Wales,Wales,Mid Glamorgan,Dairy,HOLSTEIN FRIESIAN,M,Birth Application,35
2015,January  ,Wales,Wales,Powys,Dairy,HOLSTEIN FRIESIAN,M,Birth Application,164
2015,January  ,Wales,Wales,Mid Glamorgan,Dairy,HOLSTEIN FRIESIAN,F,Birth Application,55
2015,January  ,Wales,Wales,Powys,Dairy,HOLSTEIN FRIESIAN,F,Birth Application,329
2015,January  ,Wales,Wales,Gwent,Dairy,HOLSTEIN FRIESIAN,F,Birth Application,170
2015,January  ,Wales,Wales,South Glamorgan,Dairy,HOLSTEIN FRIESIAN,M,Birth Application,83
2015,January  ,Wales,Wales,Clwyd,Dairy,HOLSTEIN FRIESIAN,F,Birth Application,445
2015,January  ,Wales,Wales,Gwynedd,Dairy,HOLSTEIN FRIESIAN,F,Birth Application,152
2015,January  ,Wales,Wales,Dyfed,Dairy,HOLSTEIN FRIESIAN,M,Birth Application,1437
2015,January  ,Wales,Wales,West Glamorgan,Dairy,HOLSTEIN FRIESIAN,F,Birth Application,5
