Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip (specific),Mode of transport,Class of travel,Accommodation / Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Christopher Ferguson,06/09/18,3,Edinburgh - London,Home Worker,Rail,Standard,Y,,£517.51,
Christopher Ferguson,10/09/18,4,Edinburgh - London,Home Worker,Air,Economy,Y,,£516.43,
Marcus Bell,19/07/18,1,London,Time saved for two external presentations,Taxi,,,,£13.40,
Joanna Rodrigues,03/07/18,3,Manchester - Leeds,Manchester & Leeds Roadshows - CO Our Purpose session with the team,Rail,Standard,Y,,£338.20,
Joanna Rodrigues,09/07/18,1,Bristol,SLT Meeting in one of the offices that the team works in ,Rail,Standard,,,£95.50,
Joanna Rodrigues,14/08/18,2,Newcastle,Newcaslte SLT Meeting,Rail,Standard,Y,,£274.49,
Joanna Rodrigues,03/09/18,1,Basingstoke,Managment Team Meeting Attendance,Rail,Standard,,,£26.60,
Joanna Rodrigues,07/09/18,1,Leeds,Leeds Roadshow - Directorate of The Month Session with the team,Rail,Standard,,,£85.50,
Joanna Rodrigues,09/09/18,2,Newcastle,Newcastle Roadshow - CO Our Purpose Session with the team,Rail,Standard,Y,,£199.50,
Joanna Rodrigues,21/09/18,1,Manchester,Manchester Roadshow - Our Purpose Session with the team,Rail,Standard,,,£84.00,
Joanna Rodrigues,28/09/18,1,Bristol,Management Team Meeting,Rail,Standard,,,£54.80,
Anthony Meggs,02/07/18,2,Milton Keynes - London,Internal Meeting,Rail,Standard,,,£39.10,
Anthony Meggs,11/07/18,3,Newcastle - London - Oxford,Conference and Site Visit,Rail,Standard,Y,,£417.50,
Anthony Meggs,10/09/18,1,London - Milton Keynes,Event Attednace ,Rail,Standard,,,£43.80,
Anthony Meggs,18/09/18,1,London - Cardiff - Swansea,Operational Activity,Rail,Standard,,,£46.50,
Anthony Meggs,27/09/18,1,London,Internal Meeting,Rail,Standard,,,£13.30,
Anthony Meggs,24/09/18,2,London - Cardiff ,Event Attednace ,Rail,Standard,Y,,£432.90,
Jessica De Mounteney,10/08/18,2,Belfast,Conference Attendance - Constitutional Law Summer School,Air,Economy,Y,,£282.38,
James Slack,06/07/18,1,London,Time Saved Justified,Taxi,,,,£113.45,
James Slack,06/07/18,1,Aylesbury,After 21:00hrs,Taxi,,,,£113.45,
James Slack,12/07/18,1,London,Time Saved Justified,Taxi,,,,£120.38,
Debra Soper,23/08/18,2,London - Basingstoke,Away Day,Taxi,,Y,,£744.27,
Debra Soper ,16/07/18,1,London,Meeting Time Saved Justified,Taxi,,,,£8.20,
Oliver Robbins,03/07/18,1,"Home address to airport, return",Return journey to airport,Taxi,Standard,N,,£411.40,
Oliver Robbins,06/07/18,1,Home address,Return journey from Away Day,Taxi,Standard,N,,£136.28,
Oliver Robbins,12/07/18,2,Brussels,Meeting with European Officials,Rail / Taxi,Business Premier,Y,,£777.47,
Oliver Robbins,16/07/18,2,Brussels - Madrid - London,Meeting with European Officials,Rail / Flight / Taxi,Business Premier / Economy / Standard,Y,,£930.60,
Oliver Robbins,19/07/18,2,Brussels,Meeting with European Officials,Rail / Taxi,Business Premier,Y,,£868.20,
Oliver Robbins,24/07/18,4,Brussels-Dublin-London,Meeting with European Officials,Rail / Flight / Taxi,Business Premier / Economy / Standard,Y,,"£1,501.73",
Oliver Robbins,08/08/18,3,Paris,Meeting with European Officials,Rail / Taxi,Business Premier,Y,,£960.14,
Oliver Robbins,15/08/18,3,Brussels,Meeting with European Officials,Rail / Taxi,Business Premier,Y,,£893.31,
Oliver Robbins,20/08/18,3,Brussels,Meeting with European Officials,Rail / Taxi,Business Premier,Y,,£878.84,
Oliver Robbins,28/08/18,2,Berlin,Meeting with European Officials,Flight / Taxi,Business,Y,,£413.76,
Oliver Robbins,30/08/18,2,Brussels,Meeting with European Officials,Rail / Taxi,Standard Premier,Y,,£576.37,
Oliver Robbins,02/09/18,2,Paris,Meeting with European Officials,Rail / Taxi,Business Premier,Y,,£665.92,
Oliver Robbins,06/09/18,2,Brussels - Dublin - London,Meeting with European Officials,Rail / Flight / Taxi,Business Premier / Economy,Y,,£998.12,
Oliver Robbins,11/09/18,4,Brussels - Rome - Brussels - London,Meeting with European Officials,Rail / Flight / Taxi,Business Premier / Economy,Y,,"£2,945.29",
Oliver Robbins,16/09/18,2,Dublin,Meeting with European Officials,Flight / Taxi,Economy,Y,,£722.77,
Oliver Robbins,25/09/18,2,Dublin - Paris - Berlin - London,Meeting with European Officials,Flight / Taxi,Business / Economy,Y,,"£1,721.63",
Oliver Robbins,27/09/18,2,Brussels,Meeting with European Officials,Rail / Taxi,Business Premier,Y,,£737.02,
Oliver Robbins,30/09/18,1,Brussels,Meeting with European Officials,Rail,Business Premier,,,£492.50,
Roy Stone CBE,16/07/18,1,London,House sitting late due to Customs Bill,,,Y,,£259.25,
Rupert McNeil,19/07/18,2,Swindon - London,Internal Board Meeting,Rail,Standard,,,£97.20,
Rupert McNeil,03/09/18,1,London - Basingstoke,CSHR Management Team Meeting,Rail,Standard,,,£24.10,
Rupert McNeil,10/09/18,2,London - Newcastle,Staff Engagement Event,Rail,Standard,,,£295.00,
Helen MacNamara,11/07/18,2,Berkhamsted,Future Leadership Scheme Meeting,Train,Standard,Y,,£49.80,
Helen MacNamara,10/09/18,1,Belfast,Meeting Northen Ireland Civil Service,Flight,Standard,N,,£216.99,
Helen MacNamara,19/09/18,1,Belfast,Meeting Northen Ireland Civil Service,Flight,Standard,N,,£506.13,
Helen MacNamara,27/09/18,2,New Malden,Offsight ExCO meeting,Train,Standard,Y,,£10.80,
Lucy Baines,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,
Alison Bertlin,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,
Jacqueline Crawford,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,
Shona Hunter Dunn,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,
John Fiennes,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,
Jessica Glover,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,
Godfrey Lyne,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,
Amanda McFeeters,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,
Helene Moore,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,
