Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,April    ,Scotland,Scotland,Angus,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,116
2015,April    ,Scotland,Scotland,Angus,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,98
2015,April    ,Scotland,Scotland,Dunbarton,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,49
2015,April    ,Scotland,Scotland,Dumfries,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,479
2015,April    ,Scotland,Scotland,Caithness,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,262
2015,April    ,Scotland,Scotland,Berwick,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,946
2015,April    ,Scotland,Scotland,Bute,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,88
2015,April    ,Scotland,Scotland,Nairn,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,47
2015,April    ,Scotland,Scotland,Clackmannan,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,2
2015,April    ,Scotland,Scotland,Ross and Cromarty,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,157
2015,April    ,Scotland,Scotland,Peebles,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,73
2015,April    ,Scotland,Scotland,Aberdeen,Non Dairy,AUBRAC,M,Birth Application,1
2015,April    ,Scotland,Scotland,Aberdeen,Dairy,AYRSHIRE,F,Birth Application,6
2015,April    ,Scotland,Scotland,Kirkcudbright,Dairy,AYRSHIRE,F,Birth Application,48
2015,April    ,Scotland,Scotland,Argyll,Dairy,AYRSHIRE,M,Birth Application,4
2015,April    ,Scotland,Scotland,Argyll,Dairy,AYRSHIRE,F,Birth Application,22
2015,April    ,Scotland,Scotland,Aberdeen,Dairy,AYRSHIRE,M,Birth Application,8
2015,April    ,Scotland,Scotland,Renfrew,Dairy,AYRSHIRE,F,Birth Application,4
2015,April    ,Scotland,Scotland,Dunbarton,Dairy,AYRSHIRE,M,Birth Application,2
2015,April    ,Scotland,Scotland,Lanark,Dairy,AYRSHIRE,F,Birth Application,15
2015,April    ,Scotland,Scotland,Kirkcudbright,Dairy,AYRSHIRE,M,Birth Application,2
2015,April    ,Scotland,Scotland,Kinross,Dairy,AYRSHIRE,F,Birth Application,12
2015,April    ,Scotland,Scotland,Mid Lothian,Dairy,AYRSHIRE,F,Birth Application,2
2015,April    ,Scotland,Scotland,Bute,Dairy,AYRSHIRE,M,Birth Application,4
2015,April    ,Scotland,Scotland,Renfrew,Dairy,AYRSHIRE,M,Birth Application,1
2015,April    ,Scotland,Scotland,Ayr,Dairy,AYRSHIRE,F,Birth Application,85
2015,April    ,Scotland,Scotland,Stirling,Dairy,AYRSHIRE,M,Birth Application,1
2015,April    ,Scotland,Scotland,Ayr,Dairy,AYRSHIRE,M,Birth Application,12
2015,April    ,Scotland,Scotland,Lanark,Dairy,AYRSHIRE,M,Birth Application,2
2015,April    ,Scotland,Scotland,Wigtown,Dairy,AYRSHIRE,M,Birth Application,27
2015,April    ,Scotland,Scotland,Bute,Dairy,AYRSHIRE,F,Birth Application,2
2015,April    ,Scotland,Scotland,Dumfries,Dairy,AYRSHIRE,F,Birth Application,24
2015,April    ,Scotland,Scotland,Wigtown,Dairy,AYRSHIRE,F,Birth Application,63
2015,April    ,Scotland,Scotland,Dumfries,Dairy,AYRSHIRE,M,Birth Application,13
2015,April    ,Scotland,Scotland,Ayr,Dairy,AYRSHIRE X,F,Birth Application,16
2015,April    ,Scotland,Scotland,Wigtown,Dairy,AYRSHIRE X,M,Birth Application,9
2015,April    ,Scotland,Scotland,Moray,Dairy,AYRSHIRE X,F,Birth Application,1
2015,April    ,Scotland,Scotland,Argyll,Dairy,AYRSHIRE X,F,Birth Application,4
2015,April    ,Scotland,Scotland,Kirkcudbright,Dairy,AYRSHIRE X,F,Birth Application,6
2015,April    ,Scotland,Scotland,Kinross,Dairy,AYRSHIRE X,M,Birth Application,5
2015,April    ,Scotland,Scotland,Kirkcudbright,Dairy,AYRSHIRE X,M,Birth Application,2
2015,April    ,Scotland,Scotland,Wigtown,Dairy,AYRSHIRE X,F,Birth Application,17
2015,April    ,Scotland,Scotland,Renfrew,Dairy,AYRSHIRE X,M,Birth Application,1
2015,April    ,Scotland,Scotland,Argyll,Dairy,AYRSHIRE X,M,Birth Application,1
2015,April    ,Scotland,Scotland,Aberdeen,Dairy,AYRSHIRE X,F,Birth Application,1
2015,April    ,Scotland,Scotland,Lanark,Dairy,AYRSHIRE X,F,Birth Application,2
2015,April    ,Scotland,Scotland,Renfrew,Dairy,AYRSHIRE X,F,Birth Application,4
2015,April    ,Scotland,Scotland,Kincardine,Non Dairy,BAZADAISE,M,Birth Application,2
2015,April    ,Scotland,Scotland,Mid Lothian,Non Dairy,BAZADAISE,F,Birth Application,2
2015,April    ,Scotland,Scotland,Aberdeen,Non Dairy,BAZADAISE,M,Birth Application,1
2015,April    ,Scotland,Scotland,Orkney,Non Dairy,BAZADAISE X,M,Birth Application,4
2015,April    ,Scotland,Scotland,Orkney,Non Dairy,BAZADAISE X,F,Birth Application,3
2015,April    ,Scotland,Scotland,West Lothian,Non Dairy,BAZADAISE X,F,Birth Application,2
2015,April    ,Scotland,Scotland,West Lothian,Non Dairy,BAZADAISE X,M,Birth Application,1
2015,April    ,Scotland,Scotland,Perth,Non Dairy,BAZADAISE X,M,Birth Application,3
2015,April    ,Scotland,Scotland,East Lothian,Non Dairy,BAZADAISE X,F,Birth Application,4
2015,April    ,Scotland,Scotland,Aberdeen,Non Dairy,BAZADAISE X,M,Birth Application,13
2015,April    ,Scotland,Scotland,Mid Lothian,Non Dairy,BAZADAISE X,F,Birth Application,7
2015,April    ,Scotland,Scotland,Aberdeen,Non Dairy,BAZADAISE X,F,Birth Application,7
2015,April    ,Scotland,Scotland,Mid Lothian,Non Dairy,BAZADAISE X,M,Birth Application,4
2015,April    ,Scotland,Scotland,East Lothian,Non Dairy,BAZADAISE X,M,Birth Application,5
2015,April    ,Scotland,Scotland,Kincardine,Non Dairy,BAZADAISE X,M,Birth Application,2
2015,April    ,Scotland,Scotland,Perth,Non Dairy,BAZADAISE X,F,Birth Application,5
2015,April    ,Scotland,Scotland,Wigtown,Non Dairy,BEEF SHORTHORN,M,Birth Application,4
2015,April    ,Scotland,Scotland,Kirkcudbright,Non Dairy,BEEF SHORTHORN,F,Birth Application,34
2015,April    ,Scotland,Scotland,Kinross,Non Dairy,BEEF SHORTHORN,F,Birth Application,1
2015,April    ,Scotland,Scotland,Wigtown,Non Dairy,BEEF SHORTHORN,F,Birth Application,3
2015,April    ,Scotland,Scotland,Ross and Cromarty,Non Dairy,BEEF SHORTHORN,F,Birth Application,19
2015,April    ,Scotland,Scotland,Roxburgh,Non Dairy,BEEF SHORTHORN,M,Birth Application,50
2015,April    ,Scotland,Scotland,Fife,Non Dairy,BEEF SHORTHORN,M,Birth Application,6
2015,April    ,Scotland,Scotland,Stirling,Non Dairy,BEEF SHORTHORN,F,Birth Application,8
2015,April    ,Scotland,Scotland,Fife,Non Dairy,BEEF SHORTHORN,F,Birth Application,8
2015,April    ,Scotland,Scotland,Peebles,Non Dairy,BEEF SHORTHORN,F,Birth Application,5
2015,April    ,Scotland,Scotland,Angus,Non Dairy,BEEF SHORTHORN,F,Birth Application,27
2015,April    ,Scotland,Scotland,Shetland,Non Dairy,BEEF SHORTHORN,F,Birth Application,2
2015,April    ,Scotland,Scotland,Perth,Non Dairy,BEEF SHORTHORN,F,Birth Application,38
2015,April    ,Scotland,Scotland,Aberdeen,Non Dairy,BEEF SHORTHORN,M,Birth Application,15
2015,April    ,Scotland,Scotland,Berwick,Non Dairy,BEEF SHORTHORN,M,Birth Application,7
2015,April    ,Scotland,Scotland,Angus,Non Dairy,BEEF SHORTHORN,M,Birth Application,22
2015,April    ,Scotland,Scotland,Ross and Cromarty,Non Dairy,BEEF SHORTHORN,M,Birth Application,15
2015,April    ,Scotland,Scotland,Selkirk,Non Dairy,BEEF SHORTHORN,M,Birth Application,3
2015,April    ,Scotland,Scotland,Sutherland,Non Dairy,BEEF SHORTHORN,F,Birth Application,2
2015,April    ,Scotland,Scotland,Inverness,Non Dairy,BEEF SHORTHORN,F,Birth Application,8
2015,April    ,Scotland,Scotland,Ayr,Non Dairy,BEEF SHORTHORN,F,Birth Application,33
2015,April    ,Scotland,Scotland,Selkirk,Non Dairy,BEEF SHORTHORN,F,Birth Application,5
2015,April    ,Scotland,Scotland,Shetland,Non Dairy,BEEF SHORTHORN,M,Birth Application,8
2015,April    ,Scotland,Scotland,Dumfries,Non Dairy,BEEF SHORTHORN,M,Birth Application,36
2015,April    ,Scotland,Scotland,Roxburgh,Non Dairy,BEEF SHORTHORN,F,Birth Application,50
2015,April    ,Scotland,Scotland,Lanark,Non Dairy,BEEF SHORTHORN,F,Birth Application,25
2015,April    ,Scotland,Scotland,Moray,Non Dairy,BEEF SHORTHORN,M,Birth Application,8
2015,April    ,Scotland,Scotland,Orkney,Non Dairy,BEEF SHORTHORN,F,Birth Application,11
2015,April    ,Scotland,Scotland,Moray,Non Dairy,BEEF SHORTHORN,F,Birth Application,10
2015,April    ,Scotland,Scotland,Kinross,Non Dairy,BEEF SHORTHORN,M,Birth Application,3
2015,April    ,Scotland,Scotland,Caithness,Non Dairy,BEEF SHORTHORN,F,Birth Application,2
2015,April    ,Scotland,Scotland,Lanark,Non Dairy,BEEF SHORTHORN,M,Birth Application,22
2015,April    ,Scotland,Scotland,Dumfries,Non Dairy,BEEF SHORTHORN,F,Birth Application,30
2015,April    ,Scotland,Scotland,Perth,Non Dairy,BEEF SHORTHORN,M,Birth Application,33
2015,April    ,Scotland,Scotland,Renfrew,Non Dairy,BEEF SHORTHORN,M,Birth Application,14
2015,April    ,Scotland,Scotland,Ayr,Non Dairy,BEEF SHORTHORN,M,Birth Application,39
2015,April    ,Scotland,Scotland,Kirkcudbright,Non Dairy,BEEF SHORTHORN,M,Birth Application,27
2015,April    ,Scotland,Scotland,Argyll,Non Dairy,BEEF SHORTHORN,F,Birth Application,7
2015,April    ,Scotland,Scotland,Aberdeen,Non Dairy,BEEF SHORTHORN,F,Birth Application,17
2015,April    ,Scotland,Scotland,Orkney,Non Dairy,BEEF SHORTHORN,M,Birth Application,12
2015,April    ,Scotland,Scotland,Inverness,Non Dairy,BEEF SHORTHORN,M,Birth Application,6
2015,April    ,Scotland,Scotland,Caithness,Non Dairy,BEEF SHORTHORN,M,Birth Application,5
2015,April    ,Scotland,Scotland,Argyll,Non Dairy,BEEF SHORTHORN,M,Birth Application,4
2015,April    ,Scotland,Scotland,Banff,Non Dairy,BEEF SHORTHORN,F,Birth Application,1
2015,April    ,Scotland,Scotland,Peebles,Non Dairy,BEEF SHORTHORN,M,Birth Application,5
2015,April    ,Scotland,Scotland,Berwick,Non Dairy,BEEF SHORTHORN,F,Birth Application,9
2015,April    ,Scotland,Scotland,Stirling,Non Dairy,BEEF SHORTHORN,M,Birth Application,10
2015,April    ,Scotland,Scotland,Renfrew,Non Dairy,BEEF SHORTHORN,F,Birth Application,5
2015,April    ,Scotland,Scotland,Banff,Non Dairy,BEEF SHORTHORN,M,Birth Application,1
2015,April    ,Scotland,Scotland,Ross and Cromarty,Non Dairy,BEEF SHORTHORN X,F,Birth Application,29
2015,April    ,Scotland,Scotland,Kincardine,Non Dairy,BEEF SHORTHORN X,M,Birth Application,5
2015,April    ,Scotland,Scotland,Renfrew,Non Dairy,BEEF SHORTHORN X,F,Birth Application,6
2015,April    ,Scotland,Scotland,Mid Lothian,Non Dairy,BEEF SHORTHORN X,F,Birth Application,9
2015,April    ,Scotland,Scotland,Perth,Non Dairy,BEEF SHORTHORN X,F,Birth Application,30
2015,April    ,Scotland,Scotland,Nairn,Non Dairy,BEEF SHORTHORN X,M,Birth Application,1
2015,April    ,Scotland,Scotland,Dumfries,Non Dairy,BEEF SHORTHORN X,M,Birth Application,47
2015,April    ,Scotland,Scotland,Lanark,Non Dairy,BEEF SHORTHORN X,M,Birth Application,36
2015,April    ,Scotland,Scotland,Shetland,Non Dairy,BEEF SHORTHORN X,M,Birth Application,24
2015,April    ,Scotland,Scotland,Berwick,Non Dairy,BEEF SHORTHORN X,M,Birth Application,6
2015,April    ,Scotland,Scotland,Nairn,Non Dairy,BEEF SHORTHORN X,F,Birth Application,1
2015,April    ,Scotland,Scotland,Caithness,Non Dairy,BEEF SHORTHORN X,M,Birth Application,13
2015,April    ,Scotland,Scotland,Caithness,Non Dairy,BEEF SHORTHORN X,F,Birth Application,15
