Allocated,1st Pref,2nd Pref,3rd Pref,4th Pref,5th Pref,CatchmentName,CatchmentCode,Year 
8162028,8162028,,,,,Hob Moor Community Primary School,8162028,2023
8162001,8162001,8163302,8162012,,,Hempland Primary School,8162001,2023
8163151,8163151,,,,,Dunnington CE Primary School,8163151,2023
8162021,8162021,,,,,New Earswick Primary School,8163901,2023
8162021,8162021,,,,,New Earswick Primary School,8162021,2023
8162431,8162431,8163158,8162176,,,Badger Hill Primary School,8162431,2023
8162004,8162004,,,,,Haxby Road Primary Academy,8162004,2023
8162028,8162028,,,,,Hob Moor Community Primary School,8162028,2023
8162017,8162017,,,,,Westfield Community Primary School,8162017,2023
8162016,8162016,,,,,Scarcroft Primary School,8162016,2023
8162430,8162430,8162428,,,,Clifton with Rawcliffe Primary School,8162430,2023
8162430,8162430,,,,,Lakeside Primary School,8162428,2023
8162017,8162017,,,,,Westfield Community Primary School,8162017,2023
8162021,8162021,,,,,New Earswick Primary School,8163901,2023
8162021,8162021,,,,,New Earswick Primary School,8162021,2023
8162017,8162017,,,,,Westfield Community Primary School,8162017,2023
8162028,8162028,,,,,Hob Moor Community Primary School,8162028,2023
8162011,8162000,8162011,8162016,8163003,,St Paul's CE Primary School,8163003,2023
8162029,8162029,,,,,Poppleton Ousebank Primary School,8162029,2023
8162430,8162430,,,,,Hempland Primary School,8162001,2023
8162027,8162027,,,,,Woodthorpe Primary School,8162027,2023
8162012,8162012,,,,,Tang Hall Primary School,8162429,2023
8162029,8162029,8162349,8162013,8163222,8162430,Poppleton Ousebank Primary School,8162029,2023
8162000,8162000,,,,,Acomb Primary School,8162000,2023
8162017,8162017,,,,,Westfield Community Primary School,8162017,2023
8162428,8162428,,,,,Lakeside Primary School,8162428,2023
8162024,8162024,,,,,Burton Green Primary School,8162024,2023
8162176,8162176,,,,,Osbaldwick Primary School,8162176,2023
8162011,8162011,8162016,8162007,8163904,8162000,Hob Moor Community Primary School,8162028,2023
8162015,8162015,,,,,Yearsley Grove Primary School,8162015,2023
8162028,8162028,8162017,,,,Westfield Community Primary School,8162017,2023
